Korean,English
가게,"a store, a shop"
가구점,a furniture store
가까이,"closely, close together"
가꾸다,to grow or cultivate
가끔,"once in a while, sometimes"
가난,poverty
가난하다,to be poor
가능,possibility
가능성,"possibility, likelihood"
가능하다,to be possible
가다,to go
가득,all filled
가득히,"full, up to the brim"
가령,"for example, supposing or admitting"
가로,width
가로등,a street lamp
가로수,roadside tree
가리키다,"to point, to indicate"
가만,as it is
가만있다,to remain still or motionless
가만히,calmly
가볍다,to be light-weight
가운데,"the middle, center"
가을,"fall, autumn"
가입하다,"to join, to become a member of"
가자미,a flounder fish
가정,"a home, a family, a house-hold."
가정교사,"private teacher, tutor"
가져다주다,to bring
가족,a family
가죽,leather
가지,"a kind, type"
가지,eggplant
가치,"value, worth, merit"
각각,"respectively, each"
각오,"resolution, determination"
각종,"all sorts, a variety"
간,a liver
간단,simple
간단하다,to be simple
간부,executive member
간접적,indirectness
간편하다,to be convenient and simple
갈다,"to grate, sharpen"
갈등,"conflict, disagreement"
갈매기,seagull
갈색,brown
감각,"a sense, sense (of)"
감다,to wash hair
감독,"a (movie) director, a supervisor"
감동적,"moving, touching"
감상,"appreciation, enjoyment"
감소,"decrease, diminution"
감소되다,"to be reduced, diminished"
감자,a potato
감정,emotions
감정적,emotional
감추다,"to hide, conceal"
갑,mw. for packs of cigarettes
갑자기,suddenly
갔다 오다,To go and come back
강,a river
강당,"lecture hall, Buddhist sanctum"
강도,"robber, burglar"
강력하다,"to be strong, powerful"
강북,north of the river
강사,"a lecturer, instructor"
강수량,(amount of) precipitation
강의하다,to give a lecture
강조,emphasis
강조하다,to emphasize
강하다,"to be robust, strong"
강화하다,to strengthen
갖추다,to be equipped with
같다,to be similar
개개인,"each single person,individuals"
개나리,forsythia (flower)
개다,to fold up sth
개다,to clear up (weather)
개미,ant
개발하다,"to develop, to create"
개방,opening
개방되다,to be opened up
개선,"improvement, betterment"
개성,"individuality, personality"
개인,"an individual, a person"
거대하다,"to be huge, gigantic, enormous"
거두다,"to harvest, gain, obtain"
거들다,"to chip in, help"
거리,a street
거미,spider
거부하다,"to reject, deny"
거실,a living room
거울,mirror
거의,"nearly, almost"
거짓말쟁이,liar
거치다,"to pass through, experience"
거품,bubbles
걱정,"worry, concern, anxiety"
걱정되다,to become worried
걱정스럽다,to be worrisome
건강,health
건너오다,to come crossing over
건너편,"other side, opposite side"
건네다,to hand over a note or bribe
건설,construction
건조하다,to be arid
건조한,dry
건축가,architect
건축학,architecture (major)
건포도,raisin
걸다,to hang
걸어다니다,to walk around regularly
걸음,"walking, stepping, step, pace"
걸치다,"to extend, spread over"
검다,"to be dark, black"
검사,a prosecutor
검사,"an examination, an inspection"
겁나다,"to be frightened, scared"
겉,the surface; the outside; appearance
게다가,in addition
게시판,"a notice board, bulletin board"
게으르게,lazily
게으르다,To be lazy
겨우,"barely, narrowly"
겨울,winter
겨자,mustard
겪다,to undergo or experience
견디다,"to endure, bear, withstand"
견해,"opinion, view"
결과,"result, outcome"
결국,"in the end, finally"
결론,conclusion
결석,absence
결석하다,to be absent
결정,decision
결정되다,to be decided
결정하다,to decide
결코,"never, by no means"
결후,Adam’s apple
겸상,a table for two
경고하다,to warn
경기,"a competitive match, competition"
경비,"defense, guards"
경영,management
경영하다,"to manage, administer"
경영학,business management (major)
경우,"occasion, time, event"
경쟁,rivalry
경제력,financial capabilities
경제학,economics (major)
경찰관,police officer
경찰서,a police station
경향,"trend, tendency"
경험,an experience
경험하다,to experience
계속하다,to continue sth.
계시다,"to exist, stay (honorific)"
계절,seasons
계층,a social class
계획표,a schedule
계획하다,to plan
고개,the back of the neck
고개,a ridge (hill)
고구마,sweet potato
고궁,an ancient palace
고급스럽다,to be high class
고기,meat
고등학교,high school
고등학생,high school student
고래,whale
고려하다,to consider
고르다,"to choose, to select"
고만고만하다,to be almost the same
고모부,Father's sister's husband
고무신,rubber shoes
고생,difficulties
고소하다,"to sue, bring a suit against"
고속도로,highway
고속버스,Express bus
고열,a high fever
고온,a high temperature
고요하다,"to be silent, calm, peaceful, tranquil, soft"
고집,stubbornness
고추가루,red-pepper powder
고추장,Red pepper paste
고치다,"to repair, to fix"
고통,anguish
고향,one's hometown
곧,"right away, soon, immediately"
곧다,"to be straight, upright, honest"
골목길,alley
골치,"nuisance, headache, bother"
곱다,"to be warm, pleasant"
공간,a physical space
공개,"public, open"
공격,an attack
공경,respect
공군,air force
공급,"supply, provision"
공기,"the air, the atmosphere"
공동,public
공무원,"a public servant, government employee"
공부하다,to study
공식적,official
공업,"manufacturing industry, industrial work"
공연,a public performance
공연하다,to do a performance
공연히,"needlessly, without reason"
공익,a common good
공장,factory
공주,princess
공중전화,"a payphone, a public phone"
공통,commonness
공통적,common
공통점,"common point, similarity"
공포,horror
공학,engineering
공항,an airport
공항터미널,air terminal
공휴일,a public holiday
과거,the past
과목,academic subjects
과연,"truly, really"
과외,"private tutoring, extracurricular work"
과정,a process
과정,curriculum
과제,"a task, assignment"
과학자,scientist
관객,audience
관계,"connection, relation"
관계없이,regardless
관계자,the interested or affected parties
관광지,tourist spot
관념,notion
관람,"watching (sports), viewing"
관람객,spectator
관련,"relation, connection"
관련되다,to be involved with/related
관련하다,"to be related, connected to"
관리,"administration, management"
관심사,"a matter of concern, interest"
관절,a bodily joint
관점,a point of view
관찰하다,"to observe, to watch"
관하다,"to refer to, to be about"
광고주,advertiser
괜히,"in vain, uselessly"
괴다,"to prop, support"
괴로워하다,to be worried
괴물,monster
굉장히,greatly
교내,campus
교복,school uniform
교수님,professor
교시,school period
교육자,educator
교육학,education (major)
교장,a school principal
교재,teaching materials (textbooks)
교차,an intersection
교통,"traffic, transportation"
교향곡,symphony
구두 시험,oral test
구별되다,to be distinguished
구분되다,to become classified into sections
구성,somethings composition
구성되다,to be organized
구성하다,to form or organize
구속,restraint
구월,September
구입,a purchase
구조,"structure, construction"
구청,district office
구체적,"specific/concrete, definite"
구하다,"to seek (homes, jobs, etc)"
국,soup
국가,"state, nation"
국기,national flag
국내외,inside and outside of the country
국립공원,national park
국민적,national
국사,Korean history
국수,noodles
국적,nationality
국제선,international flight
국회,the national assembly
군데,place
굳히다,"to harden, congeal, to make hard"
굴,oyster
굵다,to be thick (in diameter)
굽다,"broil, roast or bake, burn"
궁금하다,to be curious
궁지,palace
권위,"authority, power"
권투,boxing
귀가,"the return home, come home"
귀가하다,to return home
귀국,return to one's country
귀마개,earmuffs
귀성길,the return home for the holidays
귀신,ghost
귀찮다,"to be annoyed, troublesome, tiresome"
귓속,inner ear
규모,"scale, scope"
규정,"rules, regulations"
규칙,"law, rule, regulations"
균형,balance
귤,tangerine
그간,meanwhile
그냥,just
그대로,as it is; as it stands; thus
그때그때,each time
그러나,but
그러니까,therefore
그러므로,"so, therefore, accordingly, thus"
그러하다,to be like that
그럴듯하다,"to be decent, to be plausible,"
그렇지만,"nevertheless, however, but"
그루,mw. for trees and rice plants
그리다,"to draw, to paint"
그리움,"nostalgia, yearning"
그리워하다,to miss
그리하여,so
그림자,"a shadow, silhouette"
그만두다,"to stop, to cease, to drop, to quit"
그만큼,to that extent
그사이,meantime
그저,"just, only"
그저께,the day before yesterday
그전,former days
그제,the day before yesterday
그제야,only then
그중,among them
그치다,"to stop, to cease"
극복하다,"to conquer, subjugate"
극장,movie theater
극히,quite
근거,a basis (for an argument)
근교,"suburbs, outskirts"
근로자,laborer
근본적,"essentially, fundamental"
근육,muscle
글자,"letter, written character"
금고,"a safe, strong box"
금년,this year
금색,gold
금요일,Friday
금지되다,to be prohibited
금하다,to prohibit
급격히,rapidly
급속히,promptly
급증하다,to rapidly increase
기간,"period, duration"
기계,"a machine, instrument"
기계 공학,mechanical engineering (major)
기관,organization
기념품,souvenir
기념하다,to commemorate
기능,"technical skill, ability, function"
기다,to crawl
기대,expectation
기대하다,to anticipate
기도,prayer
기도하다,to pray
기록,a record or document
기록하다,"to record, write down"
기르다,"to grow, raise (animals, crops, hair)"
기린,a giraffe
기막히다,"stifle, stunned, miserable, striking"
기말 시험,a final exam
기본,rudiments
기본적,basically
기쁘다,"to be glad, to be happy"
기쁨,"pleasure, joy"
기상,weather conditions
기성,preexisting
기성세대,the older generation
기술,"technology, art, skill, technique"
기술하다,"to describe, outline"
기억나다,to remember
기억되다,to come to one's recollection.
기억하다,to remember
기업,"company, enterprise, an undertaking, business"
기업인,"a businessman, entrepreneur"
기여,"a contribution, services"
기온,Temperature
기울다,to lean/slant/incline
기적,a miracle
기준,"standard, criteria"
기차역,Train station
기초,"basics, fundamentals"
기초적,basic
기호,"a liking, preference"
기혼,married person
기회,"an opportunity, a chance"
기후,climate
긴장감,"suspense, feeling of tension"
긴장되다,to become tense
길 모르다,to not know the way
길 잃다,to be lost
길이,length
깊다,to be deep/profound
깊숙이,deeply
깊이,depth
까다,"to peel, hatch"
까닭,"cause, reason"
까먹다,to forget
까치,magpie
깍두기,cubed radish kimchi
깎다,to shave
깔끔하다,"To be neat, tidy"
깜빡,"completely, absent-mindedly"
깜빡,"a blink, flash"
깡패,"gangster, hoodlum"
깨,sesame
깨닫다,to realize
깨뜨리다,"to break, smash"
깨소금,sesame salt
깨어지다,To be broken
꺼내다,"to take out, remove"
껌,chewing gum
께서,"from, hon. subj. marker"
꼬리,tail
꼭,"without fail, for sure"
꼴,"look, state, sight"
꼼꼼하다,to be meticulous (positive implication)
꽃집,a flower shop
꽉,"firmly, tightly"
꽤,"quite, rather"
꾸리다,"to pack up, bundle"
꾸미다,"to adorn, decorate"
꾸준하다,to be steady
꾸중,a scolding
꿈속,in one's dream
끄다,to turn off
끄덕이다,"to nod, nod approval"
끊다,to quit (a habit)
끊임없이,endlessly
끌다,to drag
끌리다,to be attracted
끌어당기다,to tug
끓이다,"to boil, heat (i.e. a soup, a broth)"
끝내다,to finish
끼다,"to cloud up, to fog up"
끼다,to wear (rings or eye glasses)
끼어들다,to interrupt
나들이,an outing
나름,depending on
나머지,"surplus, remainder"
나서다,"to step forward, turn up, to meddle in"
나이,age
나타나다,to appear
나타내다,"to express, to show, to symbolize/stand for (sth)"
나흘,a four day period
낙타,a camel
낚시꾼,"fishermen, angler"
낚싯대,fishing rod
난리,"a fuss, panic, mess, war"
난방,heating system
날개,wing
날다,to fly
날마다,daily
낡다,"to be old, antiquated, out of date"
남기다,to leave a message or food
남다,to be remaining
남북,north and south
남쪽,south
납득하다,"to accept, understand"
낫다,"to be better, preferable"
낭비,waste
낮,"daytime, daylight"
낮다,to be low
낮아지다,to get lower
낯선,unfamiliar
낯선 사람,a stranger
낯설다,To be unfamiliar
낳다,"to produce, give birth"
내년,next year
내놓다,to put up a house for sale
내다,"to turn in, hand in"
내려놓다,to put down
내려오다,to come down
내밀다,"to stick out, to stretch out"
내보내다,to send out or emit something
내부,the interior
내성적이다,"to be introverted, reserved"
내용,contents
내용물,"contents, goods"
내일,tomorrow
내장,intestines
내적,"inner, internal"
내후년,year after next
냄비,pot
냄새,a smell
냅킨,napkin
냇물,stream
냉면,cold noodles
냉방,air-condition
냉장고,a refrigerator
널리,"widely, generously"
넓다,"to be vast or wide, spacious"
넓이,width
넘기다,to hand over
넘다,to pass
넘어뜨리다,to throw down
넘어서다,"to cross, to pass"
넘치다,to overflow
네,yes
네거리,"intersection, crossroads, street crossing"
녀석,"rascal, chum, bud"
년대,"historical date, ten-year period"
노동,labor
노동력,labor
노동자,laborer
노동절,labor day
노래하다,to sing
노랫소리,singing voice
노력하다,"to strive, to try hard, to make an effort"
노출되다,to be exposed
녹다,To melt
녹음,sound recording
녹음하다,"to record music, to tape"
녹이다,"to melt, dissolve (an item)"
녹화,video recording
논리,logic
논리적,logical
논문,a thesis/dissertation
논밭,farm fields
놀랍다,to be surprising
놀러 가다,to go out and enjoy oneself
놀이,game
놀이터,playground
농가,farmhouse
농부,farmer
농사일,farm work
농사짓다,to do farming
농업,"agriculture, farming"
농촌,farm village
높아지다,to become high
높이,height
높이다,to (physically) raise (sth up)
놓아두다,to leave as is
놓이다,to be placed
놔두다,to leave (someone) alone
누르다,to press
눈가,eye rims
눈감다,"to die, to pass away"
눈길,line of sight
눈꺼풀,eyelid
눈뜨다,"to open eyes, wake up"
눈빛,glitter/shine of ones eyes
눈앞,before one's eyes
눕다,to lie down
뉴스앵커,news anchor
느껴지다,to feel
느끼다,"to feel, realize"
느낌,"feeling, impression"
늘다,"increase, improve"
늘리다,"to increase, to lengthen"
늘어나다,"to extend, to grow longer, to increase"
늙다,"To be (get, grow) old"
능동적,active
능력,ability
늦다,to be late
늦잠 자다,to sleep in late
다가서다,to go near
다녀가다,to (go and) drop by
다루다,"to handle, manage, conduct"
다리다,to iron (clothes)
다리미,an iron
다리미질하다,to iron
다만,"simply, merely"
다소,more or less
다습하다,to be humid
다시,again
다양성,diversity
다양하다,"to be diverse, varied"
다양해지다,"to diversify, to become varied"
다음,"next, following"
다음부터,from next time
다지다,to chop up
다치다,to be injured or hurt
다툼,a quarrel
다하다,to use up
다행,luck
단계,step or stage of a process.
단골,a regular customer
단념하다,to abandon
단단하다,"to be hard, solid, firm"
단색,a solid color
단순,simplicity
단순하다,to be simple-minded
단순히,simply
단어,vocabulary word
단위,a unit
단지,"simply, merely"
단체,"group, party, organization, association, body"
닫다,to close
달걀,eggs
달다,to be sweet
달라지다,"to become different, change"
달려가다,"to run, to dash"
달리,differently
달리다,to run
달빛,moonlight
닮다,to resemble
담,"wall, fence"
담기다,"to be filled, bottled"
담다,"to put into, include"
담당,undertaking
담당자,person in charge
담요,blanket
답변,answer to a problem
답장,written reply
닷새,five days
당근,a carrot
당분간,for the time being
당시,in those days times
당연하다,"to be fair,just,proper"
당장,"""at once!"", on the spot"
당하다,to suffer
닿다,"to brush against, reach"
대강,"roughly, briefly"
대개,"generally, in general, mostly"
대규모,large scale
대기,atmosphere
대기실,waiting area
대기하다,to standby or wait
대낮,broad daylight
대단히,incredibly
대략,"generally,approximately,roughly, nearly"
대로,"in accordance with, in the way, manner of"
대법원,supreme court
대보름,15th January (by the lunar calendar)
대부분,"majority, mostly, for the most part"
대비,provision
대사,"dialogue, lines"
대사관,an embassy
대신,instead of
대여섯,about 5 or 6
대응,response (to sth)
대입,university entrance exam
대접,hospitality
대접하다,"to offer hospitality, treat"
대중,"the general public, the masses"
대중교통,mass transportation
대중문화,popular culture
대중적,popular culture
대책,"a countermeasure, legislation"
대체로,on the whole
대통령,president of a country
대표,a representative
대학원생,graduate student
대한항공,Korean air
대회,"conference, convention, tournament"
더,more
더구나,"besides, still more"
더더욱,more and more
더럽다,to be dirty
더욱,increasingly
더욱더,more and more
더하다,"to add, sum up"
던지다,"to throw, pitch"
덜,less
덧붙이다,to make an additional statement
덮다,"to close (a book, lid)"
덮이다,to be covered
데려오다,to bring a person
데려가다,to take a person along
데려오다,to bring a person/animal somewhere
데리다,to accompany/bring/take someone with
데우다,"to warm, heat up"
도대체,"what the hell!, what on earth"
도리어,on the contrary
도마,cutting board
도망,"escape, flight, desertion"
도망가다,"to escape, to run away"
도사,a saint
도심,"downtown, heart of the city"
도자기,"ceramics, pottery"
도착,arrival
도착시간,arrival time
도착탑승구,arrival gate
독립,independence
독립기념일,independence day
독립하다,to be independent
독서하다,to read for enjoyment
독일,Germany
독창적이다,"creative, original"
독특하다,to be unique
독하다,to be potent
돈,money
돌다,to turn
돌려주다,to give back
돌리다,"to dial, revolve"
돌멩이,"a small rock, piece of stone"
돌보다,to take care of
돌아가다,to return (somewhere)
돌아가시다,to pass away
돌아보다,to look back
돌아오다,"to return, come back"
돕다,to help
동,bronze
동갑,same age
동경하다,to admire
동그라미,circle
동그랗다,to be round
동기,"motive, motivation"
동물원,zoo
동서,"the husband of one's wife's sister, brother in-law"
동시,"same time, simultaneously"
동안,"while, during"
동양학,Asian studies (major)
동작,"movements, an action"
동전,a coin
동쪽,east
동창,alumni
동화책,"storybook, fairy tales"
돼지,a pig
돼지고기,pork
되돌아보다,to look back
되살리다,"to revive, recall"
되풀이되다,"to repeat, reiterate"
두께,thickness
두다,to be placed
두드리다,to knock (on a door)
두렵다,"to be afraid, fearful, frightened, scared"
두리번거리다,"to stare about, look around"
두세,two or three
두통,(literal) headache
둘러싸다,to surround
둘러싸이다,to be surrounded
둥글다,"to be round, circular"
뒤꿈치,the heel
뒤편,backside
뒷골목,back street
뒷문,back door
드디어,finally
드러나다,to be exposed
드물게,rarely
드물다,"To be rare, uncommon"
들다,to be included
들려오다,"to be heard, to come to one's ear"
들르다,To stop by
들어가다,"to enter, to go in"
들어서다,"to enter, occupy"
들어올리다,to raise
들어주다,"to listen, to grant"
들여놓다,to set foot in
들여다보다,to look into
들이마시다,to breathe in
들이켜다,"to drink, gulp, chug"
듯이,as if to be
등록,register
등록금,registration fee
등장하다,to appear
따님,daughter (honorific form)
따다,"to pick, pluck"
따뜻하다,to be warm
따라다니다,to follow around
따라서,"accordingly, therefore"
따로,separately
따르다,to follow
따스하다,to be warm or balmy
딱,accurately
딴,different
땀,"sweat, perspiration"
땅값,price of land
땅바닥,ground
땅콩,peanuts
땅콩버터,peanut butter
때때로,occasionally
때로,"according to circumstances, on occasion"
때리다,to beat
때문에,because of
떠나가다,"to leave, depart, go away"
떠들다,to make a noise
떠들썩하다,to be clamorous
떠오르다,to come to mind; to rise to the surface
떠올리다,to recall something
떨다,"to tremble, shiver"
떨어지다,"to fall, to drop"
떼다,"to take off, detach"
또다시,once more
또한,"also, and"
똑똑하다,"to be intelligent, smart, clever"
똑바로,straight ahead
뚜렷하다,to be obvious
뚱뚱하다,To be fat
뛰어나가다,to run outside
뛰어나다,"to be excellent, outstanding"
뛰어내리다,to jump off
뛰어놀다,to romp about
뛰어다니다,to run around
뛰어오다,to come running
뛰어오르다,"to jump up, go up"
뜨다,to float
뜯어지다,To be torn
뜻밖에,"unexpectedly, contrary to what you thought"
뜻하다,"to mean, signify, imply"
띄다,"to catch sight of, meet the eye of"
럭비,rugby
레슬링,wrestling
로션,lotion
룸서비스,room service
리마콩,Lima bean
마련,a preparation
마련하다,"to prepare, to arrange"
마르다,to be extremely skinny
마음가짐,determination
마음속,one's mind
마음씨,temper
마찬가지,"sameness, similarity"
마찰,friction
마치다,"to finish, complete, conclude"
마침,Coincidentally
마침내,at last
막다,to block
막히다,"to be blocked, congested"
만나다,to meet
만들다,to make
만땅이다,to fill to the limit
만세,cheer
만약에,in the case that/in case
만일,"just in case, if"
만점,full marks
만족,"satisfaction, contentment"
만족스러운,satisfactory
만족스럽다,to be satisfactory
만족하다,to be satisfactory
만지다,to touch
만큼,to the extent
만하다,to be worthy
만화가,cartoonist
말,horse
말씀하다,to speak (honorific)
말을걸다,to address
말투,"way of speaking, accent"
망고,mango
망치다,"to spoil, to ruin"
맞은편,"the opposite side, the other side"
맞춤법,spelling rules
맡기다,"to deposit, to entrust"
맡다,"to be in charge of, responsible for"
매다,to tie
매달,monthly
매달다,"to hang up, suspend"
매달리다,"to be entangled, dependent"
매번,every time
매스컴,mass communication
매체,a medium or media (of something)
맨발,bare feet
맵다,to be spicy
머리말,"prologue, preface"
머리카락,hair
머릿속,in one's head
머무르다,"to stay, remain"
먹고살다,to make one's livelihood
먹다,to eat
먹물,ink
먹히다,to be eaten
먼지,dust
멀쩡하다,"to be brazen, impudent, hypocritical"
멈추다,"to stop, to halt, to cease, to calm down"
멍청이,idiot
멎다,"to stop, die down"
메다,to wear (on one's shoulders)
메뚜기,grasshopper
며느리,one's daughter in law
면담,personal conversation
면도하다,to shave
면접,job interview
멸치,anchovies
명단,"list, roll, register, directory"
명령어,a command word
몇몇,some
몇십,several tens (of a quantity)
모금,fundraising
모기,mosquito
모델,model
모래,sand
모레,the day after tomorrow
모르다,"to not know, to be unaware of"
모습,appearance; shape
모시다,"to accompany (honorific form), to care for"
모양,"a shape, a style"
모여들다,to gather
모으다,to gather something
모이다,"to gather (money, crowds)"
모임,"a social gathering, a meeting, a party, an assembly."
모조리,"all, without exception"
모집,recruitment
모집하다,to recruit
모퉁이,"corner, a turn, turning"
목,"the neck, the throat"
목숨,the breath of life
목요일,Thursday
목적,"aim, purpose, goal"
목젖,uvula
목캔디,throat lozenges
목표,a goal
몰려오다,to come flocking
몸매,one's shape or figure
몸무게,body weight
몸살,"illness from fatigue, body aches"
몸속,interior of the body
몹시,severely
못되다,to go wrong
못지않다,to be just as good as
묘사,depiction
무겁다,to be heavy
무관심,indifference
무관심하다,"to be indifferent, unconcerned, apathetic, uninterested,to have no regard for the feelings of others."
무기,"weapons, arms"
무너지다,to collapse
무대,"stage, arena"
무더위,"sweltering weather, high humidity"
무덥다,to be both hot and humid
무렵,"circa, around that time"
무사하다,"to be without mishap, safe, secure"
무수하다,"To be countless, myriad"
무시하다,"to disregard,ignore,neglect,"
무역,foreign trade
무용,"dancing, dance performance"
무용가,dancer
무의미하다,To be meaningless
무이자,interest free
무지개,rainbow
무책임하다,To be irresponsible
무척,very
묵다,to lodge somewhere
문득,all of a sudden
문어,octopus
문의하다,to inquire
문자,"a letter, character"
문장,a sentence
문지르다,to rub
문학,literature
문학적,literary
문화,culture
문화재,cultural assets
문화적,cultural
묻다,to ask
묻히다,to get buried
물,water
물론,"of course, needless to say"
물리학,physics (major)
물질,"matter, substance"
물질적,"material, physical"
물체,solid object
뭘요,you're welcome (lit: for what?)
미래에,in the future
미루다,to postpone
미리,"beforehand, in advance, ahead of time"
미만,less than
미식,American style
미신,superstition
미용사,a hair stylist
미움,hatred
미혼,"unmarried, single"
민간,"private, civilian, non-governmental,"
민감하다,To be sensitive
민속촌,folk village
민주주의,democracy
민주화,democratization
믿다,"to believe, to trust"
밀가루,flour
밀다,to push / shove
밀리다,to be behind schedule
바,unit of pressure
바가지,a rip-off
바구니,a basket
바깥쪽,outside
바뀌다,to be changed
바나나,Banana
바닷물,sea water
바라다,"to hope for, to wish"
바라보다,to look at/watch/stare at
바람,"wind, breeze"
바람직하다,"to be desirable, to be advisable"
바베큐,barbecue
바보,fool
바이러스,virus
바지,pants
바퀴,a wheel
바탕,basis or foundation of sth.
반 바지,short pants
반기다,to rejoice
반대,"opposite, objection"
반대로,conversely
반대편,opposite side
반도,a peninsula
반드시,"certainly, by all means"
반면,in contrast
반응,"reaction, response"
반죽,dough
반짝거리다,"to shimmer, sparkle"
반짝이다,"to twinkle, shine"
반찬,side dishes
반팔셔츠,short sleeved shirt
받아들이다,"to accept, to take something in mentally, to adopt"
발가락,toe
발견되다,to be discovered
발견하다,to discover
발굴,excavation
발권창구,ticket counter
발끝,"tip of the toes, tiptoe"
발달,"development, growth"
발달되다,to be developed
발달하다,to develop
발등,top of the foot
발매인,ticket agent
발목,an ankle
발바닥,the sole of a foot
발생하다,"to happen, occur"
발야구,kick ball
발음하다,"to pronounce, to articulate"
발전,development
발전하다,to develop
발톱,toenail
발표,announcement
발휘하다,"to demonstrate, display"
밝아지다,to get bright.
밝혀지다,"to become known, to be identified"
밝히다,to clear up
밟다,to step on
밤낮,night and day
밤늦다,To be late at night
밤새,all night long
밤새우다,to stay up all night
밤중,midnight
밤하늘,night sky
밥솥,rice cooker
방면,direction
방문,a visit
방문하다,to visit
방바닥,the floor of a room
방법,"method, a way"
방송국,"broadcasting company, TV station"
방송사,broadcasting company
방식,"a way, method, manner"
방안,plan / idea
방울,a bell
방지하다,to prevent
방해하다,"to disturb, to hinder"
방향,direction
배경,"setting, backdrop"
배고프다,to be hungry
배관공,plumber
배꼽,belly button
배부르다,"to be full, stuffed"
