Korean,English
잇다,"to connect, tie, link"
잇점,advantage
잊혀지다,to escape one's memory
자,ruler
자가용,"private car, one's own car"
자격,qualification
자격증,certificate of qualification
자기,one's self
자꾸,"repeatedly, often, frequently"
자녀,"offspring, children"
자다,to sleep
자두,a plum
자라나다,to grow (up)
자라다,to grow
자료,"materials, data"
자르다,to cut
자막,subtitles
자매,"sisters, female sibling"
자부심,"self conceit, self-esteem, pride"
자살하다,"to commit suicide, kill oneself"
자세,"a posture, position, stance"
자신,"oneself, self-confidence, self-assurance"
자신감,self-esteem
자신있다,to be self-confident
자연스럽다,To be natural
자연재해,natural disaster
자연적,"natural, instinctive, inborn, innate, inherent"
자연현상,a natural phenomenon
자원,resource
자유,freedom
자유롭다,"to be free, unrestricted"
자정,midnight
자주,"often, frequently"
자체,"oneself, itself"
작가,"writer, author"
작문,a compositional writing
작업,"work, operation"
작용,"effect, action"
작품,"a piece of work (art), performance, product"
잔도,loose change
잔디,"lawn,grass,turf,sod"
잔디밭,"a lawn, a grass plot, a patch of grass"
잔치,feast
잘못되다,to turn out wrong
잠그다,to lock
잠바,"windbreaker, jacket"
잠비,zombie
잠수함,submarine
잠시,a moment
잠자리,dragonfly
인하다,"to be due to,be caused by"
잡수시다,to eat (honorific)
잡아당기다,"to pull, yank"
잡지,a magazine
잡화,miscellaneous goods
잡히다,to be caught
장 거리,a long distance
장 보다,to buy groceries
장갑,gloves
장관,minister (of the Korean government)
장군,"general, admiral"
장기간,long period of time
장기적,"in the long run, in the long term"
장난감,a toy
장례,funeral service
장례식,funeral ceremony
장르,genre
장마,Korean monsoon season
장면,"scene, situation (movie, show)"
장사,"commerce, business"
장사꾼,"businessman seller, merchant, trader"
장소,place
장수,long life
장인,father-in-law (for males)
장차,"in the future, some day"
장학금,a scholarship
재다,to measure
재래시장,a traditional market
재방문하다,to revisit
재산,"estate, property, wealth"
재수,"luck, fortune"
재우다,to put someone to sleep
재작년,the year before last
재정,"finance, financial affairs, fiscal matters"
재주,talent
재채기,a sneeze
재채기하다,to sneeze
재판,"a court hearing, trial"
재판하다,to judge
재학,one's college days
재해,a disaster
재확인하다,to reconfirm
재활용,recycling
재활용품,recyclables
저금통,a savings jar
저금하다,to save money
저런,"oh my, oh dear!, goodness!"
저리,"in that direction, that way"
저온,a low temperature
저울,"a scale, balance"
저자,an author
저지르다,"to commit an error, wrong doing"
저축하다,to deposit money
적극,active
적극적,"active, aggressive"
적다,"to fill out (papers), to write down"
적성,aptitude
적어도,at the least
적응,fitness; suitability; adaptation
적절하다,to be appropriate
전공하다,to major in
전구,light bulb
전국,nationwide
전기 공학,electrical engineering (major)
전기밥솥,electric rice cooker
전달하다,"to deliver, convey"
전등,"fluorescent bulb, light bulb"
전등갖,lampshade
전망,"forecast, outlook"
전문적,"specialized, technical"
전문점,specialty store
전문직,professional occupation
전병,thin crispy pastry
전선,electric wires
전설,a legend
전세,"yearly rent, ""key money"" system"
전시,exhibition
전시되다,to be displayed
전시장,exhibition center
전시하다,"to show, exhibit"
전자렌지,microwave
전쟁,war
전진시키다,to advance
전철역,alt. “subway station”
전체,"total, entirety"
전체적,"entirely,generally"
전하다,"to convey, tell, deliver (message, thing, etc.)"
전혀,never
전화번호,telephone number
절대,"never, absolutely not"
절약,"frugality, savings"
절약하다,to economize
절차,"procedures, steps"
젊음,"youth, youthfulness"
점검,"check-up, inspection"
점수,a score
점심,lunch
점원,a store clerk
점잖다,"to be gentle, very polite"
점점,gradually
점차,"gradually, little by little"
접근,approach
접시,"plate, dish"
정가,regular price
정거장,a bus / train stop
정답,correct answer
정당,a political party
정도,"approximately, about"
정리하다,"to organize, clean up"
정반대,exact opposite
정부,government
정신,"mind, spirit, soul"
정신과,psychiatric
정신없이,mindlessly
정오,"exactly noon, noon"
정원,a garden
정장,a formal outfit
정직하다,to be honest
정치학,political science
정하다,"to decide, make up one's mind"
정확하다,"to be precise, accurate"
젖다,to be wet
젖다,"to get wet, to be soaked"
제공하다,"to provide, offer"
제과점,bakery
제대로,"appropriately, as it should be"
제대하다,to be discharged from military service
제발,please
제사,ancestor worship
제삿날,death anniversary
제스쳐,a gesture
제시하다,to present
제외하다,to exclude
제의하다,"to propose, suggest, offer"
제작,"production, manufacture"
제출,submission (of sth)
제품,manufactured goods
조개,shellfish
조건,"condition, term"
조그마하다,"to be tiny, small"
조그맣다,"to be smallish, tiny"
조금씩,"little by little, gradually"
조기,an early stage
조르다,"to aggravate, badger"
조명,illumination
조미료,"seasoning, MSG"
조사,investigation
조사하다,to investigate
조상,ancestor
조용하게,quietly
조용하다,to be quiet
조용히,silently
조절,a control
조직,"group, organization"
조화되다,to be harmonious
존경하다,"to respect, admire, honor"
존재,presence
존재하다,to exist
졸리다,to be sleepy
졸업생,a graduate of college or university
졸업식,Graduation ceremony
졸업하다,to graduate
졸연하다,to be sudden
졸음,sleepiness
좁다,"to be narrow, cramped"
좁히다,"to narrow, to close on."
종교,religion
종교적,religious
종류,"kind, variety, sort"
종소리,a bell sound
종이,paper
종이봉지,paper bag
종합,"general, multiple"
종합하다,to integrate
좋다,to be good
좋아하다,"like, be fond of"
좌석,seat
좌석주머니,seat pocket
좌회전,a left turn
주거,residence
주관적,subjective
주다,to give
주로,"mainly, usually, for the most part"
주름,wrinkles
주름살,wrinkles
주목하다,to remark
주변,"surrounding, nearby, around a certain area"
주사,"a shot, an injection"
주소,Address
주식,a financial stock
주요,"major, significant"
주위,"near, the neighborhood, the surroundings"
주유소,gas station
주인공,central character
주일,counter for weeks
주장,argument / claim
주장하다,to assert or insist
주전자,a (tea)kettle
주제,"the subject matter, theme"
주택,housing
주한,resident in Korea
죽이다,to kill
줄거리,synopsis
줄다,to decrease
줄무늬,stripped pattern
줄서,passing away
줄어들다,"to decrease, shrink"
줄이다,"reduce, diminish, lessen"
중간,Middle
중간고사,mid-term exam
중계방송,a live broadcasting
중국,China
중년,middle-aged
중단,"interruption, discontinuance"
중단되다,"to be discontinued, interrupted"
중독,an addiction
중세,"middle ages, medieval"
중소기업,small business
중순,the middle third (ten days) of a month
중심,"the center, core"
중요,importance
중학교,middle school
쥐,"mouse, rat"
쥐다,"to grip, to clench"
즉석,impromptu/on the spot
즐거워하다,"to feel happy, enjoy"
즐기다,"to enjoy, enjoy oneself"
증가하다,to increase
증거,"evidence, proof"
증권,a stock certificate
지각,"lateness, tardiness"
지겹다,"to be disgusting, nasty"
지겹다,"to be tedious, wearisome, tiresome"
지구본,globe
지금,now
지금껏,"thus far, until now"
지급,payment
지나가다,to pass by
지나치다,"to go too far, be excessive, beyond bounds"
지난해,last year
지내다,to spend time
지능,"intelligence,intellect"
지니다,"to have, possess"
지다,"to be defeated, lose"
지대,area
지도자,"a leader, mastermind"
지도하다,"to guide, direct, coach, lead"
지르다,"to shout, to yell"
지름길,shortcut
지배하다,"to occupy, control, govern"
지시,"directions, instructions, order"
지식,knowledge
지옥,hell
지원,support
지원자,volunteer
지위,"position, status"
지저분하다,"to be messy, disorderly"
지적,"pointing out, indication"
지점,a branch (office)
지켜보다,to keep an eye on
지키다,"to protect, abide by, guard"
지폐,paper money (currency)
지하도,pedestrian underpass
지하철,subway
지혜,wisdom
직불카드,debit card
직원,an employee
직장,workplace
직장인,an office worker
직접,"in person, directly,  by oneself, with one's own hand"
직후,immediately after
진단하다,to diagnose
진달래,azalea
진동,vibration
진로,"a course (direction), life path"
진료,medical diagnosis and treatment
진리,truth
진실,"truth, reality"
진실로,"in fact, in reality, actually"
진실하다,to be truthful
진심,"sincerity, a true heart, earnest"
진찰,a medical examination
진토닉,gin and tonic
진통,"contractions, labor pains"
진하다,to be deep (color)
진행되다,"to have progressed, to be advanced"
진행자,"a host, MC"
질,quality
질서,"public order,regularity"
질투,jealousy
질투하다,to be jealous
짐,"luggage, baggage"
짐작,"a guess, an assumption"
집다,"to pick, to choose, to select, take a pinch of"
집단,"group, body (of people)"
집중하다,to concentrate
짓,"act, behavior"
짓다,"to build, construct"
짜다,to be salty
짜리,worth
짜증스럽다,to be annoying
쩔쩔매다,"to be at one ́s wit ́s end,be at a loss as to what to do"
쪽,measure word for pieces (of clothing)
쫓겨나다,"to be expelled, to be kicked out"
쭉,straight
찌꺼기,tea or coffee grounds
찌다,to steam
찢다,"to tear, rip, split"
차갑다,to be cold
차남,second oldest son
차라리,"rather, better, first, preferably"
차례,rites honoring ancestors
차리다,"to prepare, make ready, to arrange"
차선,traffic lane
차이,differences
차차,gradually
차창,"car window, train window"
착각하다,to mistake one thing for another
찬성,"agreement, consent"
찬성하다,to agree (on a plan or position)
참,by the way
참견,interference
참기름,sesame oil
참다,"to repress a feeling, endure"
참새,sparrow
참석,"attendance, presence, participation"
참석자,attendee
참여,participation
참여하다,to participate
참으로,"really, truly"
찻잔,teacup
창가,window side
창가 좌석,a window seat
창구,"a teller's counter, a cashier's window"
찾아가다,to go find or visit
찾아다니다,to forage
찾아보다,"to look for, search"
채,mw. for houses
채소,vegetables
채우다,to fill
채점,"grade, mark, score"
책방,bookstore
책임,"responsibility, accountability"
책임감,a sense of responsibility
챙기다,to put things in order
처리,"handling, disposal"
처지,"situation, condition, circumstance"
천,one thousand
천둥,thunder
천만,ten million
천사,angel
천재,genius
천천히,slowly
철저하다,"to be thorough, exhaustive"
철학,philosophy
철학적,philosophical
청바지,blue jeans
청소원,janitor
청취자,listener
체온,body temperature
체육,"physical training, physical education"
체조,"physical exercise, gymnastics"
체포,arrest
체하다,to have upset stomach
체험,personal experience
체험하다,"to undergo, go through"
쳐다보다,"to stare at, to look at"
초기,early period
초대,an invitation
초대하다,to invite
초등학교,elementary school
초등학생,elementary student
초록,green
초록색,green
초상화,a portrait
초순,first ten days of the month
초저녁,"early evening, early hours of the evening"
초점,"focus, focal point"
초조하다,"to be anxious, impatient"
초청장,letter of invitation
초청하다,to invite
촌스럽다,"to be unfashionable, inelegant, unrefined"
촛불,candlelight
총,a gun
총,total
총장,university president
촬영보,a camera person
촬영하다,to film
최근,lately
최대,maximum
최상,"the best,the finest,the highest"
최소,minimum
최소한,"the smallest, minimum, at least"
최신,"the newest, up-to-date"
최악,the worst
최우다,to tidy up
최저,"lowest, minimum"
최초,"the first, the beginning, the outset"
최근,"the latest, most recent"
추가하다,to add (sth. to sth.)
추석,thanksgiving
추억,a pleasant memory
추진하다,"to propel, drive"
추천,recommendation
추천하다,to recommend
추측하다,"to suppose, guess; speculate"
추측,"a guess, speculation"
축구화,soccer shoes
축적하다,to accumulate
출국,leaving a country
출근하다,to go to work
출발,departure
출발점,departure point
출산,"childbirth, delivery"
출석하다,to be present
출신,"native, former"
출입국,immigration
출장,a business trip
출퇴근,"go and come from work, commute"
출판,publishing
출현하다,to appear
충격,"impact, shock, trauma"
충고,"advice, counsel, warning, caution"
충돌하다,"to collide, crash"
충분하다,to be sufficient
충분히,"enough, sufficiently"
취소,cancellation
취업,employment
취재,gathering information or data for a newspaper
취직하다,to find or get a job
치료,medical treatment
치료법,a remedy
치마,skirt
치솔,toothbrush
치약,Toothpaste
치통,toothache
친해지다,to become close (to someone)
칠하다,"to paint, to coat, to color, to varnish"
침대,a bed
침술,acupuncture
침실,a bedroom
침착하다,to be calm/self-possessed
칭찬하다,"to speak highly of, to praise"
캄캄하다,to be pitch dark
커튼,curtains
커피,coffee
케찹,ketchup
코끝,tip of the nose
코끼리,an elephant
코를 골다,to snore
크기,size
큰절,a formal deep bow
큰집,the home of a family's parents and first child
키보드,keyboard
키우다,"to reer, bring-up children, crops, animals"
키위,kiwi
타다,to burn
타오르다,to burn up
타자기,typewriter
타조,ostrich
탁자,"a desk, a table"
탈출하다,to escape
탓,"reason, fault, blame"
태도,attitude
태아,fetus
태양,sun
태어나다,to be born
태우다,"to pick up (a person), give a ride"
태평양,pacific ocean
터지다,"to break, blow up, disclosed"
테니스,tennis
테러,"terror, terrorism"
토끼,a rabbit
토대,"a foundation, basis"
토론,"debate, discussion"
토론하다,to discuss
토론회,"open forum, debate, panel discussion"
토요일,Saturday
통과,passing
통닭,fried chicken
통로,aisle
통로 좌석,Aisle seat
통역,interpretation (translation)
통역사,translator
통역하다,to interpret
통일,unification
통제,"regulation, management, control"
통통하다,to be chubby
통합,consolidation
통화하다,to talk on the phone
퇴근하다,to go home from work
퇴원하다,to be discharged from a hospital
투자,investment
튀기다,to deep-fry
튀다,to spatter
특급,special(mail delivery)
특별히,especially
특성,special characteristics
특수성,unique or special characteristic
특징,"a special feature, a characteristic"
특히,"especially, particularly"
틀다,"to turn on, switch on"
틀림없다,to be certain or free of errors
틈,"crack, crevice"
팀,a team
파,green onion
파도,waves
파리,a fly
파악하다,"to mentally grasp, understand"
파인애플,pineapple
파자마,pajamas
판결,"judgement, verdict"
판단,judgement
판단하다,to judge
판매,"sale, selling, marketing"
판매세,sales tax
판매원,salesman
판사,a judge
팔다,to sell
팔리다,to be sold
팝콘,popcorn
팬티,underwear
퍼지다,"to unfold, spread out"
펴다,"to unfold, straighten, unroll"
편견,"a prejudice, a bias"
편도,one-way trip
편리하다,to be convenient
편히,peacefully
펼쳐지다,"to be laid out, be unfolded, be spread"
평가,"rating, assessment, evaluation; critique; review"
평가하다,to assess
평균,an average
평생,a lifetime
평생직장,a lifetime job
평일,a weekday
평화,peace
평화롭다,To be peaceful
폐,lung
포근하다,"to be cozy, mild and snug"
포기하다,"to give up, abandon"
포도주,wine
포장마차,a street food stall/cart
포장하다,to pack and wrap
포크,fork
포함,inclusion
포함되다,to be included
포함하다,"to include, to contain"
폭력,violence
폭발물,explosives
폭포,waterfall
폭풍,storm
표시,"display, indication, expression, manifestation, mark, sign"
표시하다,"to show, manifest, express"
표정,a facial expression
표현,(verbal/non-verbal) expression
표현하다,"to express, give expression"
푸다,to scoop up
풀다,"to untie, to unfasten, to release"
풀리다,"to be solved, worked out, unraveled, relieved of symptoms"
풀어지다,"to soften, loosen"
풍부하다,"to be abundant, plentiful"
풍부한,plentiful
프랑스,France
프렛젤,pretzels
피구,dodge ball
피다,"to bloom, open up"
피로하다,to be fatigued
피망,bell pepper
피부,skin
피하다,"to avoid, avert"
피해,"damage, harm"
필름,film
필요,"necessity, need"
필자,author/writer
하나님,god
하나하나,one by one
하늘색,light blue
하루 종일,all day
하루에 한 번,once a day
하반기,second half of the year
하순,last ten days
하품,a yawn
학과,"a school subject or course, a curriculum"
학교식당,school cafeteria
학력,academic background
학생증,student id card
학위,an academic degree
학자,scholar
학점,academic credits
한가위,alternative word for Korean thanksgiving
한가하다,"to have free time, to not be busy"
한겨울,midwinter
한결,"remarkably, much more"
한계,"a boundary,a limit,"
한구석,"corner, nook, side, part"
한국,Korea
한낮,noon
한데,"one place, together"
한두,one or two
한둘,one or two
한때,"same time, temporarily"
한마디,a single word
한밤중,midnight
한번 도 안,not even once
한여름,midsummer
한잔하다,to have a drink and talk
한정하다,to restrict (sth to sth)
한참,for some time
한편,meanwhile
한평생,one's lifetime
한하다,to be limited
할부,installment payments
할인,discount
할인하다,to discount
핥다,to lick
함께가다,to accompany
합격,passing
합격하다,to pass a test
합하다,to add or total
항공,"a flight, an airline"
항공 우편,airmail
항공권,airline ticket
항공기,aircraft
항공료,Airfare
항공엽서,aerogram (air post card)
항공편,By airmail
항상,always
해결,solution
해결하다,to solve (problems)
해군,navy
해답,a solution (to a problem)
해롭다,to be harmful
해물,seafood
해병대,marines
해소하다,to settle matters
해수욕장,swimming beach
해커,hacker
핵,"nucleus, nuclear weapons, nuke"
핵심,core
핵에너지,nuclear energy
햄,ham
행동하다,to act
행복하게,happily
행복하다,to be happy
행사,event
행위,"act, action, deed"
행정보조원,administrative assistant
향,incense
향상되다,to be improved
향하다,"to look toward, to face, to head for"
허락,"permission, approval, consent"
허락하다,to permit
허벅지,thigh
혀,the tongue
현관문,a front door
현금,cash
현대,"modern times, today, our own day."
현상,a phenomenon
현실,reality
현실적,realistic
현장,"site (construction, accident, crime)"
현재,"now, present"
협력,"cooperation,collaboration"
협의회,"a consultation, discussion"
형광등,fluorescent bulb
형성,formation
형성되다,to be formed
형성하다,"to form, build"
형수,elder brother's wife
형식,"formality, convention"
형식적,formal
형용사,an adjective
형제,"siblings, brothers and sisters"
형태,"a physical form, shape"
호랑이,a tiger
호박,pumpkin
호실,room number
호주머니,a pocket
혹은,or
혼나다,"to have a bitter experience, have a hard time"
혼자,alone
혼잣말,talking to oneself
화가,artist
화려하다,"to be fancy, showy"
화면,a screen or canvas
화씨,Fahrenheit
화요일,Tuesday
화장지,toilet paper
화장하다,to do one's makeup
화제,topic of conversation
확대하다,"to magnify, enlarge, expand"
확립하다,to establish
확신,conviction
확신하다,to be convinced
확실하다,to be certain (about something)
확인하다,"to check, to confirm"
환갑,60th anniversary
환율,an exchange rate
환자,medical patient
환절기,change of seasons
활기,"vigor, vitality, energy"
활동,activity
활발히,briskly
활용하다,to make use of
활짝,"widely, extensively"
황소,ox
회계사,accountant
회복,recovery
회복되다,"to get better, recover (patients, economy)"
회복하다,to recover
회사,"a company, an office"
회사원,"an office worker, a salary man"
회색,Gray
회원,"member, membership"
회장,company president
회전,"turn, revolution, rotation"
회화,"conversation, talk, dialogue"
획득하다,to acquire
횟수,number of times
효과,"effects, effectiveness"
효과적,effective
효도,duty to ones parents
효도하다,to be a good son
효자,a dutiful son
후,after
후보,a candidate
후추,black pepper
후회,regret
후회하다,to regret
훈련,training
훈련하다,to train (someone)
훌륭하다,"to be outstanding,"
훨씬,by far
휠체어,wheelchair
흐려지다,To become cloudy
흐르다,"to flow, trickle"
흐름,"flow, stream"
흑백,black and white
흔들다,"to agitate, shake"
흔하다,to be common
흔히,"commonly, frequently"
흘리다,to spill
흡연하다,to smoke
흥미롭다,"to be interesting, exciting, attractive"
흥분,"excitement, agitation"
흥분하다,to be agitated or excited
희다,To be white
희망하다,to hope
희생,a sacrifice
희생자,a dead victim
희생하다,to sacrifice
흰색,white color
힘겹다,to be beyond one's ability
힘껏,with all one's strength
힘들어하다,to be hard-pressed/pushed to do something
설탕,sugar
가위,scissors
도착하다,to arrive
외국,a foreign country
안,inside
여권,a passport
걷다,to walk
손,a hand
맥주,beer
회의,"a meeting, a conference"
부모님,hon. parents
계획,"a plan, a project, a scheme"
약속,"an appointment, a promise"
되다,"to be, to become"
술,"liquor, alcoholic beverage"
우연히,"accidentally,by chance"
정보,"information, data"
아이,"a kid, a child"
노래,a song
만,"a gulf, a bay"
목소리,a voice
시간,"the time, mw. for hours"
택시,a taxi
행동,a behavior
여자,"a woman, female"
저녁,evening (not 밤)
강아지,a puppy
기다리다,"to wait for, to await, to expect, to look forward"
축구,"soccer, football"
제일,"best, most, first"
정말,"really, indeed"
벌다,to earn
시험,"a test, an exam"
한국어,the Korean Language
주말,the weekend
밤,"the night, the evening (not 저녁)"
생일,one's birthday
비행기,an airplane
집,"a home, a house"
놀다,"to hang out, to play"
아직,"still, so far, yet"
지진,an earthquake;
날씨,the weather
왼쪽,on the left side
은행,a bank
날,a day
뚜껑,"cover, lid (pen, pot, toothpaste, etc)"
도움,"help,aid,relief"
우산,an umbrella
울다,"to cry, to weep"
드리다,to give (honorific)
놓치다,"to miss (bus, plane, opportunity, chance), to lose"
편지,a letter
노래방,"a singing room, karaoke"
시작하다,"to start, to begin"
재미있다,"to be interesting, fun"
학교,a school
방,a room
열다,to open (something)
방학,"school holidays, a vacation"
벌,"bee, wasp, hornet, bumblebee"
미안하다,"to be sorry, to be regrettable (not 죄...)"
꽃,a flower
어둡다,"to be dark, dim, gloomy"
듣다,"To listen, or take a class"
근처,nearby
있다,"to be (existence), to have"
내리다,"to get off, to take off"
오른쪽,on the right side
부족하다,"to be insufficient, to be lacking"
괜찮다,"to be okay, to be good"
숙제,"homework, an assignment"
요즘,"these days, lately"
영어,the English language
이기다,to win
관심,"interest, concern"
물건,"a thing, an object"
소풍,"a picnic, an excursion"
창문,a window
지갑,"a purse, wallet"
수업,"a class, a lesson"
이름,a name
달,month (pure Korean)
도서관,a library
성격,"character, personality, nature"
푸르다,"To be blue, azure, green"
책,a book
얘기하다,to talk
동료,"a coworker, a colleague"
나중에,"after, later, subsequently"
모자라다,to be insufficient
끝,"the end, finish"
열쇠,a key
재미없다,"to be boring, uninteresting"
마흔,Forty
백,one hundred
태풍,a typhoon
외교관,a diplomat
권리,A right or  a claim to
씨앗,a seed
지구,The earth
지적하다,"To indicate,to point out"
고민,"trouble, worry, agony"
그래서,"so, therefore"
계산,"a calculation, bill"
속삭이다,"to whisper, murmur"
고발하다,"to accuse sb of sth, charge"
불만,"dissatisfaction, complaint"
민주,"democracy, popular rule"
토론자,"A debator, a disputant"
역사학,The study of history
매우,"very,exceedingly,remarkably."
참석하다,"to attend, participate in"
노력,"effort,hardwork,struggle"
계속되다,To continue
칼,"a knife, a blade"
보도,sidewalk
마지막,"the last, the end"
발표하다,"to announce, make public, present"
예술가,An artist
모자,a hat
상품,"Product, merchandise"
박물관,a museum
새벽,"Dawn, daybreak"
기차,a train
필요하다,"to need, be necessary"
미국,the United States
영국,United Kingdom (country)
러시아,Russia (country)
학생,a student
가수,a singer
신문,a newspaper
의사,a doctor
나라,a country
남편,a husband
은행원,a bank employee
공책,a notebook
아내,wife (my)
교실,a classroom
아버지,a father
의자,a chair
백화점,a department store
어머니,a mother
화장실,toilet
그리고,"And, also"
저기,over there
책상,a desk
건물,a building
공원,a park
기숙사,a dormitory
우체국,a post office
양말,socks
아들,a son
딸,a daughter
위층,The upper floor
연구,"study, research, investigation"
드시다,to eat (honorific)
예약,a reservation
예식장,a wedding hall
전화기,a phone
그림,a picture
질문,a question
벽,a wall
도시,a city
남동생,a younger brother
운동,"exercise, movement; campaign"
대학원,a graduate school
미인,a beautiful woman
쌓이다,"to be piled up, stacked up"
가르치다,to teach
남자,"a man, male"
젊은이,"a youngster, youth, lad"
주인,"a business owner, shop keeper"
친구,a friend
할머니,a grandmother
고모,an aunt (father's side)
삼촌,an uncle (father's side)
할아버지,a grandfather
결혼하다,To get married
손녀,a granddaughter
기자,"a reporter, a journalist"
변호사,a lawyer
간호사,a nurse
약사,a pharmacist
선생님,a teacher
주부,"a housewife, homemaker"
귀,an ear
얼굴,the face
입,the mouth
머리,"the head, hair"
눈,an eye
허리,the waist
어깨,a shoulder
무릎,a knee
등,the back
팔,an arm
이마,the forehead
몸,the body
발,a foot
코,the nose
절,a (buddhist) temple
미용실,"a beauty parlor, hair salon"
교회,a church
호텔,a hotel
설거지하다,to wash dishes
세수하다,to wash one's face
지도,"a map, guidance, directions"
입학,"entering into school, matriculation"
교과서,textbook
지우개,an eraser
곰,a bear
오전,"morning, A.M."
멀다,"to be far, distant"
길,"a road, a street"
이사하다,to move house
오후,"afternoon, P.M."
사과,an apple
작다,to be small
덥다,to be hot (used for weather)
학기,"semester, academic term"
짧다,to be short (in length)
포도,grape(s)
딸기,a strawberry
간식,"a light meal, a snack"
퇴근,"leaving work, getting off work"
번역,written translation
섬,an island
갈비,grilled beef ribs
재료,"material, ingredients"
부탁하다,"to ask a favor, to request"
가격,price (cost)
놀라다,"to be surprised, to be amazed"
사거리,"intersection (4 way), a crossroads"
떠나다,"To depart, leave"
날짜,a date
다가오다,to approach; come near
아까,some time ago; a moment ago
시인,a poet
음악,music
영하,below zero (temperature)
수박,a watermelon
쩔쩔매다,"to be at one ́s wit ́s end,be at a loss as to what to do"
